Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV X2 
0.304 0.022 0.355 7.42e-05 0.00215 4.014 normal 0.9700369346676283 0.9879622512058466 33.49819751994157
0.304 0.022 0.355 7.42e-05 0.0021 4.014 normal 0.9692584208224713 0.9877424445904167 34.62901207419432
0.304 0.022 0.355 7.42e-05 0.0023 4.014 normal 0.9733434221102626 0.9890319394673749 30.87013588028958
0.304 0.022 0.355 7.42e-05 0.0022500000000000003 4.014 normal 0.9718077936510133 0.9886042565701323 31.882036353933984
0.304 0.022 0.355 7.42e-05 0.0022 4.014 normal 0.9716952030029932 0.9881328199702621 32.72662043866222
0.304 0.022 0.355 7.42e-05 0.00205 4.014 normal 0.9677755431533447 0.9874789403702211 36.19910129817797
0.304 0.022 0.355 7.42e-05 0.0024000000000000002 4.014 normal 0.9753347189424114 0.9897930851719975 29.415296395953348
0.304 0.022 0.355 7.42e-05 0.00235 4.014 normal 0.9741613419607551 0.9894170841723116 30.08987743405651
0.304 0.022 0.355 7.42e-05 0.00245 4.014 normal 0.9765160450438457 0.9901455213497126 28.925460331171184
0.304 0.022 0.355 7.42e-05 0.0025 4.014 normal 0.9778058941087678 0.990442693396228 28.215893049199824
0.304 0.022 0.355 7.42e-05 0.0028 4.014 normal 0.9832828574931568 0.9925484560593765 31.515290442733708
0.304 0.022 0.355 7.42e-05 0.00255 4.014 normal 0.9783942380605272 0.9910117677077409 28.39959802711325
0.304 0.022 0.355 7.42e-05 0.0027 4.014 normal 0.9813386801229279 0.9922483677262904 29.88248144017486
0.304 0.022 0.355 7.42e-05 0.00275 4.014 normal 0.9820464087086694 0.9923494824877965 30.705653064486146
0.304 0.022 0.355 7.42e-05 0.00265 4.014 normal 0.9801667711235009 0.9921916084614268 29.056700940149316
0.304 0.022 0.355 7.42e-05 0.0026 4.014 normal 0.9796321047566068 0.9917152368735707 28.518813109227626
0.304 0.022 0.355 7.42e-05 0.003 4.014 normal 0.9877465785337742 0.9941065126551284 33.87818459578182
0.304 0.022 0.37166666666666665 7.42e-05 0.002 4.014 normal 0.9711183671880155 0.9906680521288869 28.676208144348145
0.304 0.022 0.37166666666666665 7.42e-05 0.00205 4.014 normal 0.9718191593201004 0.9910557548728787 27.353966539206258
0.304 0.022 0.37166666666666665 7.42e-05 0.00215 4.014 normal 0.974122719993221 0.9915722098606249 24.590868066322756
0.304 0.022 0.37166666666666665 7.42e-05 0.0021 4.014 normal 0.9733166245882516 0.9913363810774053 25.781031118800353
0.304 0.022 0.355 7.42e-05 0.0029000000000000002 4.014 normal 0.9853723110482703 0.9934765181932852 32.51893762669523
0.304 0.022 0.355 7.42e-05 0.00285 4.014 normal 0.9840394868239801 0.9930762348122082 31.609142786280895
0.304 0.022 0.355 7.42e-05 0.00295 4.014 normal 0.986368255111357 0.9938636772247734 33.269938728909196
0.304 0.022 0.37166666666666665 7.42e-05 0.0023 4.014 normal 0.9774905645922368 0.9926960766482112 22.12052786068443
0.304 0.022 0.37166666666666665 7.42e-05 0.0022 4.014 normal 0.9758020569363306 0.99175917574319 23.860275876531045
0.304 0.022 0.37166666666666665 7.42e-05 0.0024000000000000002 4.014 normal 0.9795306750268286 0.9934918658309617 20.770587524990553
0.304 0.022 0.37166666666666665 7.42e-05 0.00255 4.014 normal 0.982660978839055 0.994757102568918 20.084478991864426
0.304 0.022 0.37166666666666665 7.42e-05 0.0022500000000000003 4.014 normal 0.9759228107174343 0.992250361084445 22.984347855951803
0.304 0.022 0.37166666666666665 7.42e-05 0.00235 4.014 normal 0.9783252203173066 0.9930996173610276 21.350328098059567
0.304 0.022 0.37166666666666665 7.42e-05 0.0025 4.014 normal 0.9820573900537131 0.9941708671876414 19.732746562674464
0.304 0.022 0.37166666666666665 7.42e-05 0.00245 4.014 normal 0.9807420138634865 0.9938596259430007 20.35330278869263
0.304 0.022 0.37166666666666665 7.42e-05 0.0027 4.014 normal 0.9856619826850407 0.9960431933845976 22.024002862198227
