Energy sigmaCC sigmaNC
64.8196 21.08 7.66243
64.9447 21.1211 7.67709
65.0699 21.1622 7.69175
65.195 21.2034 7.70641
65.3201 21.2445 7.72108
65.4452 21.2857 7.73575
65.5703 21.3268 7.75042
65.6954 21.368 7.7651
65.8206 21.4091 7.77978
65.9457 21.4503 7.79446
66.0708 21.4914 7.80915
66.1959 21.5326 7.82384
66.321 21.5738 7.83853
66.4461 21.6149 7.85323
66.5712 21.6561 7.86793
66.6964 21.6973 7.88263
66.8215 21.7384 7.89732
66.9466 21.7796 7.91202
67.0717 21.8208 7.92671
67.1968 21.8619 7.9414
67.3219 21.9031 7.95609
67.447 21.9443 7.97078
67.5722 21.9855 7.98546
67.6973 22.0266 8.00014
67.8224 22.0678 8.01482
67.9475 22.109 8.02949
68.0726 22.1502 8.04416
68.1977 22.1914 8.05884
68.3229 22.2326 8.0735
68.448 22.2737 8.08817
68.5731 22.3149 8.10284
68.6982 22.3561 8.1175
68.8233 22.3973 8.13217
68.9484 22.4385 8.14683
69.0735 22.4797 8.16149
69.1987 22.5209 8.17615
69.3238 22.5621 8.19082
69.4489 22.6033 8.20548
69.574 22.6445 8.22015
69.6991 22.6856 8.23481
69.8242 22.7268 8.24948
69.9493 22.768 8.26416
70.0745 22.8092 8.27883
70.1996 22.8504 8.29351
70.3247 22.8916 8.30819
70.4498 22.9329 8.32287
70.5749 22.9741 8.33756
70.7 23.0153 8.35224
70.8252 23.0565 8.36693
70.9503 23.0977 8.38161
71.0754 23.1389 8.39629
71.2005 23.1801 8.41097
71.3256 23.2213 8.42564
71.4507 23.2625 8.44031
71.5758 23.3037 8.45497
71.701 23.3449 8.46963
71.8261 23.3861 8.48428
71.9512 23.4274 8.49892
72.0763 23.4686 8.51356
72.2014 23.5098 8.5282
72.3265 23.551 8.54284
72.4517 23.5923 8.55747
72.5768 23.6335 8.57211
72.7019 23.6748 8.58674
72.827 23.716 8.60138
72.9521 23.7573 8.61602
73.0772 23.7986 8.63067
73.2023 23.8398 8.64532
73.3275 23.8811 8.65998
73.4526 23.9223 8.67464
73.5777 23.9635 8.68931
73.7028 24.0047 8.70398
73.8279 24.0459 8.71866
73.953 24.0871 8.73333
74.0781 24.1282 8.74801
74.2033 24.1693 8.7627
74.3284 24.2105 8.77738
74.4535 24.2517 8.79206
74.5786 24.2929 8.80675
74.7037 24.3342 8.82143
74.8288 24.3756 8.83611
74.954 24.4171 8.85079
75.0791 24.4587 8.86547
75.2042 24.5003 8.88015
75.3293 24.5421 8.89483
75.4544 24.5839 8.9095
75.5795 24.6257 8.92418
75.7046 24.6675 8.93886
75.8298 24.7093 8.95353
75.9549 24.751 8.96821
76.08 24.7927 8.98289
76.2051 24.8341 8.99756
76.3302 24.8755 9.01224
76.4553 24.9167 9.02692
76.5805 24.9578 9.0416
76.7056 24.9987 9.05628
76.8307 25.0395 9.07096
76.9558 25.0803 9.08564
77.0809 25.1211 9.10032
77.206 25.1618 9.115
77.3311 25.2026 9.12969
77.4563 25.2435 9.14437
77.5814 25.2844 9.15905
77.7065 25.3254 9.17374
77.8316 25.3665 9.18842
77.9567 25.4077 9.20311
78.0818 25.449 9.21779
78.2069 25.4903 9.23248
78.3321 25.5317 9.24716
78.4572 25.5731 9.26185
78.5823 25.6145 9.27654
78.7074 25.656 9.29122
78.8325 25.6974 9.30591
78.9576 25.7388 9.3206
79.0828 25.7802 9.33529
79.2079 25.8216 9.34998
79.333 25.8629 9.36467
79.4581 25.9042 9.37936
79.5832 25.9456 9.39405
79.7083 25.9869 9.40874
79.8334 26.0282 9.42343
79.9586 26.0695 9.43813
80.0837 26.1108 9.45282
80.2088 26.1521 9.46751
80.3339 26.1934 9.48221
80.459 26.2347 9.4969
80.5841 26.2761 9.5116
80.7092 26.3174 9.52629
80.8344 26.3587 9.54099
80.9595 26.4001 9.55568
81.0846 26.4414 9.57038
81.2097 26.4828 9.58508
81.3348 26.5241 9.59977
81.4599 26.5655 9.61447
81.5851 26.6069 9.62917
81.7102 26.6482 9.64387
81.8353 26.6896 9.65856
81.9604 26.7309 9.67326
82.0855 26.7723 9.68796
82.2106 26.8136 9.70266
82.3357 26.855 9.71736
82.4609 26.8963 9.73205
82.586 26.9377 9.74675
82.7111 26.979 9.76145
82.8362 27.0204 9.77615
82.9613 27.0617 9.79085
83.0864 27.1031 9.80555
83.2116 27.1444 9.82025
83.3367 27.1858 9.83495
83.4618 27.2271 9.84965
83.5869 27.2685 9.86435
83.712 27.3099 9.87905
83.8371 27.3512 9.89375
83.9622 27.3926 9.90845
84.0874 27.4339 9.92314
84.2125 27.4753 9.93784
84.3376 27.5167 9.95254
84.4627 27.558 9.96723
84.5878 27.5994 9.98192
84.7129 27.6407 9.99662
84.838 27.6821 10.0113
84.9632 27.7235 10.026
85.0883 27.7648 10.0407
85.2134 27.8062 10.0554
85.3385 27.8476 10.0701
85.4636 27.8889 10.0847
85.5887 27.9303 10.0994
85.7139 27.9717 10.1141
85.839 28.013 10.1288
85.9641 28.0544 10.1435
86.0892 28.0958 10.1582
86.2143 28.1371 10.1728
86.3394 28.1785 10.1875
86.4645 28.2199 10.2022
86.5897 28.2613 10.2169
86.7148 28.3026 10.2316
86.8399 28.344 10.2462
86.965 28.3854 10.2609
87.0901 28.4267 10.2756
87.2152 28.4681 10.2903
87.3404 28.5095 10.305
87.4655 28.5509 10.3197
87.5906 28.5923 10.3343
87.7157 28.6336 10.349
87.8408 28.675 10.3637
87.9659 28.7164 10.3784
88.091 28.7578 10.3931
88.2162 28.7992 10.4078
88.3413 28.8405 10.4224
88.4664 28.8819 10.4371
88.5915 28.9233 10.4518
88.7166 28.9647 10.4665
88.8417 29.0061 10.4811
88.9668 29.0475 10.4958
89.092 29.0889 10.5105
89.2171 29.1303 10.5252
89.3422 29.1717 10.5399
89.4673 29.213 10.5545
89.5924 29.2544 10.5692
89.7175 29.2958 10.5839
89.8427 29.3372 10.5985
89.9678 29.3786 10.6132
90.0929 29.42 10.6279
90.218 29.4614 10.6426
90.3431 29.5028 10.6573
90.4682 29.5442 10.6719
90.5933 29.5856 10.6866
90.7185 29.6271 10.7013
90.8436 29.6685 10.716
90.9687 29.7099 10.7306
91.0938 29.7513 10.7453
91.2189 29.7927 10.76
91.344 29.8341 10.7747
91.4691 29.8755 10.7894
91.5943 29.9169 10.8041
91.7194 29.9584 10.8187
91.8445 29.9998 10.8334
91.9696 30.0412 10.8481
92.0947 30.0826 10.8628
92.2198 30.124 10.8775
92.345 30.1655 10.8922
92.4701 30.2069 10.9069
92.5952 30.2483 10.9216
92.7203 30.2897 10.9362
92.8454 30.3312 10.9509
92.9705 30.3726 10.9656
93.0956 30.414 10.9803
93.2208 30.4555 10.995
93.3459 30.4969 11.0097
93.471 30.5383 11.0244
93.5961 30.5798 11.0391
93.7212 30.6212 11.0538
93.8463 30.6627 11.0685
93.9715 30.7041 11.0832
94.0966 30.7455 11.0979
94.2217 30.787 11.1125
94.3468 30.8284 11.1272
94.4719 30.8699 11.1419
94.597 30.9113 11.1566
94.7221 30.9528 11.1713
94.8473 30.9942 11.186
94.9724 31.0357 11.2007
95.0975 31.0771 11.2154
95.2226 31.1186 11.2301
95.3477 31.1601 11.2448
95.4728 31.2015 11.2595
95.5979 31.243 11.2742
95.7231 31.2844 11.2889
95.8482 31.3259 11.3036
95.9733 31.3674 11.3183
96.0984 31.4088 11.333
96.2235 31.4503 11.3477
96.3486 31.4918 11.3624
96.4738 31.5332 11.3771
96.5989 31.5747 11.3918
96.724 31.6162 11.4065
96.8491 31.6576 11.4212
96.9742 31.6991 11.4359
97.0993 31.7406 11.4506
97.2244 31.7821 11.4653
97.3496 31.8235 11.48
97.4747 31.865 11.4947
97.5998 31.9065 11.5094
97.7249 31.948 11.5241
97.85 31.9895 11.5388
97.9751 32.0309 11.5535
98.1003 32.0724 11.5682
98.2254 32.1139 11.5829
98.3505 32.1554 11.5976
98.4756 32.1969 11.6123
98.6007 32.2383 11.627
98.7258 32.2798 11.6417
98.8509 32.3213 11.6564
98.9761 32.3628 11.6711
99.1012 32.4043 11.6858
99.2263 32.4457 11.7005
99.3514 32.4872 11.7152
99.4765 32.5287 11.7299
99.6016 32.5702 11.7446
99.7267 32.6116 11.7593
99.8519 32.6531 11.774
99.977 32.6946 11.7887
100.102 32.7361 11.8034
100.227 32.7775 11.8181
100.352 32.819 11.8328
100.477 32.8605 11.8475
100.603 32.9019 11.8622
100.728 32.9434 11.8769
100.853 32.9849 11.8916
100.978 33.0263 11.9062
101.103 33.0678 11.9209
101.228 33.1093 11.9356
101.353 33.1508 11.9503
101.478 33.1922 11.965
101.603 33.2337 11.9797
101.729 33.2752 11.9944
101.854 33.3167 12.0091
101.979 33.3581 12.0238
102.104 33.3996 12.0385
102.229 33.4411 12.0531
102.354 33.4826 12.0678
102.479 33.5241 12.0825
102.604 33.5655 12.0972
102.73 33.607 12.1119
102.855 33.6485 12.1266
102.98 33.69 12.1413
103.105 33.7315 12.156
103.23 33.7729 12.1707
103.355 33.8144 12.1854
103.48 33.8559 12.2
103.605 33.8974 12.2147
103.73 33.9389 12.2294
103.856 33.9804 12.2441
103.981 34.0219 12.2588
104.106 34.0634 12.2735
104.231 34.1049 12.2882
104.356 34.1463 12.3029
104.481 34.1878 12.3176
104.606 34.2293 12.3322
104.731 34.2708 12.3469
104.856 34.3123 12.3616
104.982 34.3538 12.3763
105.107 34.3953 12.391
105.232 34.4368 12.4057
105.357 34.4783 12.4204
105.482 34.5198 12.4351
105.607 34.5613 12.4498
105.732 34.6029 12.4645
105.857 34.6444 12.4791
105.983 34.6859 12.4938
106.108 34.7274 12.5085
106.233 34.7689 12.5232
106.358 34.8104 12.5379
106.483 34.8519 12.5526
106.608 34.8935 12.5673
106.733 34.935 12.582
106.858 34.9765 12.5967
106.983 35.018 12.6114
107.109 35.0596 12.6261
107.234 35.1011 12.6407
107.359 35.1426 12.6554
107.484 35.1842 12.6701
107.609 35.2257 12.6848
107.734 35.2672 12.6995
107.859 35.3088 12.7142
107.984 35.3503 12.7289
108.109 35.3919 12.7436
108.235 35.4334 12.7583
108.36 35.4749 12.773
108.485 35.5165 12.7877
108.61 35.5581 12.8024
108.735 35.5996 12.8171
108.86 35.6412 12.8317
108.985 35.6827 12.8464
109.11 35.7243 12.8611
109.235 35.7658 12.8758
109.361 35.8074 12.8905
109.486 35.8489 12.9052
109.611 35.8905 12.9199
109.736 35.9321 12.9346
109.861 35.9736 12.9493
109.986 36.0152 12.964
110.111 36.0568 12.9787
110.236 36.0983 12.9934
110.362 36.1399 13.0081
110.487 36.1815 13.0228
110.612 36.223 13.0375
110.737 36.2646 13.0522
110.862 36.3062 13.0669
110.987 36.3478 13.0816
111.112 36.3893 13.0963
