Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown IceAbsorption IceScattering OptEffHeadon OptEffLateral OptEffOverall CoinFraction XSecNuTau NCoverCC NCHad DIS CCQE CCQENuBarNu CCQEMuE CC1Pi_Pi0Pi CC1Pi_NuBarNuE CC1Pi_NuBarNuMu CC1PiProduction CohPiProduction AxialMass X2 
0.304 0.022 0.305 7.42e-05 0.00265 4.14 inverted 1.0 1.0298988728986627 -0.013456529332116192 1.0096197627792145 0.9360115919667077 0.08237001695895457 -0.04399209343139067 0.9986758159896485 0.9986758159896485 -0.036891139975967775 24.982259557324852 0.9986758159896485 -0.001324184010341569 1.0896417152247904 1.0250477380410168 1.0022509541840905 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0162744053574044 166.21605817971607
0.304 0.022 0.305 7.42e-05 0.0027 4.14 inverted 1.0 1.0294942635792024 -0.013749595618821345 1.009424109451457 0.9350704274091064 0.08211144887189892 -0.040804344169141485 0.9980112920465191 0.9980112920465191 -0.035639572048535635 24.983511168633772 0.9980112920465191 -0.001988707953463258 1.1072409726912582 1.0261918551031701 1.002857256242664 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0155487758752055 188.86897183251253
0.304 0.022 0.305 7.42e-05 0.0027 4.14 normal 1.0 1.0275720348979789 -0.012722221993470421 1.0090494770402825 0.9386070087411424 0.07551864178911495 -0.05447684013719705 0.9960849822836487 0.9960849822836487 -0.030200777286110064 24.988949787349146 0.9960849822836487 -0.003915017716342068 1.0857681907043304 1.025266490707207 1.0033587754156295 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0163673257331143 159.8807451754864
0.304 0.022 0.305 7.42e-05 0.00275 4.14 inverted 1.0 1.0311590851373498 -0.013931230208637357 1.0019569483751398 0.936112782273975 0.08079681416672964 -0.03185915512719928 1.000968716684981 1.000968716684981 -0.041147431098458025 24.97800381365124 1.000968716684981 0.0009687166849864351 1.1334235851180472 1.0251258939570018 0.9984821260848052 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0120745751273725 214.9745012827206
0.304 0.022 0.305 7.42e-05 0.00265 4.14 normal 1.0 1.029862811537877 -0.011977643136282195 1.007661552497685 0.9401278509817138 0.07798143802440512 -0.056438037356613444 0.996681133431011 0.996681133431011 -0.029666907014179532 24.989483647654094 0.996681133431011 -0.003318866568974146 1.0702214332559887 1.0193064062476291 0.998192167075429 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.016096820270954 140.94405003256128
0.304 0.022 0.305 7.42e-05 0.00275 4.14 normal 1.0 1.0295612741949876 -0.013291072359284277 1.0030041394252964 0.937817750457328 0.07635893812791864 -0.043174756065460694 0.9990490607378584 0.9990490607378584 -0.03883028582855878 24.980320484868425 0.9990490607378584 -0.0009509392621259458 1.1154667582203106 1.0225402473985448 1.0002104061130364 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0144330540973734 180.35881819052105
0.304 0.022 0.305 7.42e-05 0.00285 4.14 inverted 1.0 1.0295429463195556 -0.013266635192041638 1.0030016957085721 0.9378116411655173 0.07638337529516127 -0.043150318898218055 0.9990612793214797 0.9990612793214797 -0.03826179078106782 24.98088900395675 0.9990612793214797 -0.0009387206785046263 1.115497304679364 1.0225646845657874 1.0002226246966577 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.014420835513752 266.46718697678233
0.304 0.022 0.305 7.42e-05 0.0028 4.14 inverted 1.0 1.0295425355779653 -0.013316057181980734 1.0030066379075662 0.9378239966630021 0.07633395330522218 -0.043149771242764236 0.9990615531492066 0.9990615531492066 -0.03806259779874427 24.98108819747785 0.9990615531492066 -0.0009384468507777175 1.1154979892486812 1.0225652322212413 1.0002228985243846 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0144205616860251 241.54593303504728
0.304 0.022 0.305 7.42e-05 0.0028 4.14 normal 1.0 1.029434220184032 -0.013142990804678576 1.0029875410634213 0.9377846614328446 0.07650528684109967 -0.043020102103055534 0.9989713838368226 0.9989713838368226 -0.03951678266843761 24.979634142219915 0.9989713838368226 -0.0010286161631617658 1.1156817747990202 1.0223883655712958 1.0001375206042873 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0143512181629946 201.4153869926882
0.304 0.022 0.305 7.42e-05 0.00285 4.14 normal 1.0 1.0292867092995919 -0.013048694444222237 1.0029565071259465 0.9377511521288905 0.0765951500354966 -0.04291765136569107 0.9989301158825332 0.9989301158825332 -0.04146267637235123 24.977688338064773 0.9989301158825332 -0.001069884117451057 1.1158195405593083 1.0223030547484395 1.0000978309078363 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0143013812239574 223.552122624226
