Energy sigmaCC sigmaNC
37.9199 26.1101 8.35173
38.045 26.195 8.37832
38.1701 26.2802 8.4049
38.2952 26.3657 8.43148
38.4203 26.4511 8.45805
38.5455 26.5364 8.48462
38.6706 26.6212 8.51119
38.7957 26.7055 8.53776
38.9208 26.7894 8.56433
39.0459 26.8729 8.5909
39.171 26.9564 8.61747
39.2961 27.04 8.64404
39.4213 27.1238 8.67061
39.5464 27.208 8.69717
39.6715 27.2924 8.72374
39.7966 27.3771 8.7503
39.9217 27.4618 8.77686
40.0468 27.5465 8.80342
40.172 27.6311 8.82998
40.2971 27.7157 8.85654
40.4222 27.8003 8.88309
40.5473 27.8848 8.90965
40.6724 27.9693 8.9362
40.7975 28.0538 8.96275
40.9226 28.1383 8.9893
41.0478 28.2229 9.01585
41.1729 28.3075 9.0424
41.298 28.392 9.06895
41.4231 28.4766 9.09549
41.5482 28.5611 9.12203
41.6733 28.6456 9.14857
41.7984 28.7302 9.17511
41.9236 28.8147 9.20165
42.0487 28.8992 9.22819
42.1738 28.9836 9.25472
42.2989 29.0681 9.28126
42.424 29.1525 9.3078
42.5491 29.2369 9.33433
42.6743 29.3214 9.36086
42.7994 29.4057 9.38739
42.9245 29.4901 9.41391
43.0496 29.5744 9.44043
43.1747 29.6588 9.46694
43.2998 29.7431 9.49345
43.4249 29.8274 9.51995
43.5501 29.9117 9.54646
43.6752 29.9959 9.57296
43.8003 30.0802 9.59946
43.9254 30.1645 9.62595
44.0505 30.2487 9.65245
44.1756 30.3329 9.67895
44.3008 30.4171 9.70544
44.4259 30.5014 9.73194
44.551 30.5856 9.75844
44.6761 30.6698 9.78494
44.8012 30.754 9.81143
44.9263 30.8382 9.83793
45.0514 30.9224 9.86443
45.1766 31.0066 9.89093
45.3017 31.0908 9.91743
45.4268 31.175 9.94393
45.5519 31.2592 9.97043
45.677 31.3434 9.99692
45.8021 31.4276 10.0234
45.9272 31.5118 10.0499
46.0524 31.596 10.0764
46.1775 31.6803 10.1029
46.3026 31.7645 10.1294
46.4277 31.8488 10.1559
46.5528 31.933 10.1824
46.6779 32.0172 10.2089
46.8031 32.1015 10.2354
46.9282 32.1858 10.2618
47.0533 32.27 10.2883
47.1784 32.3543 10.3148
47.3035 32.4385 10.3413
47.4286 32.5228 10.3678
47.5537 32.6071 10.3943
47.6789 32.6913 10.4208
47.804 32.7756 10.4472
47.9291 32.8599 10.4737
48.0542 32.9441 10.5002
48.1793 33.0284 10.5267
48.3044 33.1127 10.5532
48.4295 33.1969 10.5796
48.5547 33.2812 10.6061
48.6798 33.3655 10.6326
48.8049 33.4498 10.6591
48.93 33.534 10.6855
49.0551 33.6183 10.712
49.1802 33.7026 10.7385
49.3054 33.7868 10.7649
49.4305 33.8711 10.7914
49.5556 33.9553 10.8179
49.6807 34.0396 10.8443
49.8058 34.1239 10.8708
49.9309 34.2081 10.8973
50.056 34.2924 10.9237
50.1812 34.3766 10.9502
50.3063 34.4609 10.9766
50.4314 34.5451 11.003
50.5565 34.6294 11.0295
50.6816 34.7136 11.0559
50.8067 34.7978 11.0824
50.9319 34.882 11.1088
51.057 34.9663 11.1352
51.1821 35.0505 11.1617
51.3072 35.1347 11.1881
51.4323 35.2189 11.2145
51.5574 35.3031 11.2409
51.6825 35.3873 11.2673
51.8077 35.4715 11.2938
51.9328 35.5557 11.3202
52.0579 35.6399 11.3466
52.183 35.7241 11.373
52.3081 35.8083 11.3994
52.4332 35.8925 11.4258
52.5583 35.9767 11.4522
52.6835 36.0608 11.4786
52.8086 36.145 11.505
52.9337 36.2291 11.5315
53.0588 36.3133 11.5579
53.1839 36.3974 11.5843
53.309 36.4816 11.6107
53.4342 36.5657 11.6371
53.5593 36.6498 11.6635
53.6844 36.734 11.6899
53.8095 36.8181 11.7163
53.9346 36.9022 11.7427
54.0597 36.9863 11.7691
54.1848 37.0704 11.7955
54.31 37.1545 11.8219
54.4351 37.2386 11.8483
54.5602 37.3227 11.8747
54.6853 37.4068 11.901
54.8104 37.4909 11.9274
54.9355 37.575 11.9538
55.0607 37.6591 11.9802
55.1858 37.7432 12.0066
55.3109 37.8272 12.033
55.436 37.9113 12.0594
55.5611 37.9954 12.0858
55.6862 38.0795 12.1122
55.8113 38.1635 12.1386
55.9365 38.2476 12.165
56.0616 38.3316 12.1914
56.1867 38.4157 12.2178
56.3118 38.4998 12.2442
56.4369 38.5838 12.2706
56.562 38.6679 12.297
56.6871 38.7519 12.3234
56.8123 38.836 12.3498
