Energy sigmaCC sigmaNC
89.8427 60.8145 19.1482
89.9678 60.8976 19.1741
90.0929 60.9807 19.2
90.218 61.0638 19.2259
90.3431 61.147 19.2518
90.4682 61.2301 19.2777
90.5933 61.3132 19.3036
90.7185 61.3963 19.3295
90.8436 61.4794 19.3554
90.9687 61.5626 19.3813
91.0938 61.6457 19.4072
91.2189 61.7288 19.4331
91.344 61.8119 19.459
91.4691 61.895 19.4849
91.5943 61.9781 19.5108
91.7194 62.0613 19.5367
91.8445 62.1444 19.5626
91.9696 62.2275 19.5885
92.0947 62.3106 19.6144
92.2198 62.3938 19.6403
92.345 62.4769 19.6662
92.4701 62.56 19.6921
92.5952 62.6432 19.718
92.7203 62.7263 19.7439
92.8454 62.8095 19.7698
92.9705 62.8926 19.7957
93.0956 62.9758 19.8216
93.2208 63.059 19.8475
93.3459 63.1421 19.8734
93.471 63.2253 19.8993
93.5961 63.3085 19.9252
93.7212 63.3917 19.9511
93.8463 63.4749 19.977
93.9715 63.5581 20.003
94.0966 63.6413 20.0289
94.2217 63.7245 20.0548
94.3468 63.8077 20.0807
94.4719 63.8909 20.1066
94.597 63.9741 20.1325
94.7221 64.0573 20.1584
94.8473 64.1405 20.1844
94.9724 64.2238 20.2103
95.0975 64.307 20.2362
95.2226 64.3902 20.2621
95.3477 64.4735 20.288
95.4728 64.5567 20.3139
95.5979 64.6399 20.3399
95.7231 64.7232 20.3658
95.8482 64.8064 20.3917
95.9733 64.8896 20.4176
96.0984 64.9729 20.4435
96.2235 65.0561 20.4694
96.3486 65.1393 20.4953
96.4738 65.2226 20.5213
96.5989 65.3058 20.5472
96.724 65.3891 20.5731
96.8491 65.4723 20.599
96.9742 65.5555 20.6249
97.0993 65.6388 20.6508
97.2244 65.722 20.6767
97.3496 65.8052 20.7027
97.4747 65.8885 20.7286
97.5998 65.9717 20.7545
97.7249 66.0549 20.7804
97.85 66.1382 20.8063
97.9751 66.2214 20.8322
98.1003 66.3046 20.8581
98.2254 66.3878 20.884
98.3505 66.4711 20.9099
98.4756 66.5543 20.9358
98.6007 66.6375 20.9617
98.7258 66.7207 20.9877
98.8509 66.8039 21.0136
98.9761 66.8871 21.0395
99.1012 66.9703 21.0654
99.2263 67.0535 21.0913
99.3514 67.1367 21.1172
99.4765 67.2199 21.1431
99.6016 67.303 21.169
99.7267 67.3862 21.1948
99.8519 67.4694 21.2207
99.977 67.5526 21.2466
100.102 67.6357 21.2725
100.227 67.7189 21.2984
100.352 67.802 21.3243
100.477 67.8852 21.3502
100.603 67.9683 21.3761
100.728 68.0514 21.402
100.853 68.1346 21.4278
100.978 68.2177 21.4537
101.103 68.3008 21.4796
101.228 68.3839 21.5055
101.353 68.467 21.5314
101.478 68.5501 21.5572
101.603 68.6333 21.5831
101.729 68.7164 21.609
101.854 68.7994 21.6349
101.979 68.8825 21.6607
102.104 68.9656 21.6866
102.229 69.0487 21.7125
102.354 69.1318 21.7383
102.479 69.2149 21.7642
102.604 69.298 21.7901
102.73 69.381 21.8159
102.855 69.4641 21.8418
102.98 69.5472 21.8677
103.105 69.6302 21.8935
103.23 69.7133 21.9194
103.355 69.7963 21.9453
103.48 69.8794 21.9711
103.605 69.9624 21.997
103.73 70.0455 22.0228
103.856 70.1285 22.0487
103.981 70.2116 22.0745
104.106 70.2946 22.1004
104.231 70.3777 22.1263
104.356 70.4607 22.1521
104.481 70.5437 22.178
104.606 70.6268 22.2038
104.731 70.7098 22.2297
104.856 70.7928 22.2555
104.982 70.8758 22.2814
105.107 70.9589 22.3072
105.232 71.0419 22.3331
105.357 71.1249 22.3589
105.482 71.2079 22.3847
105.607 71.291 22.4106
105.732 71.374 22.4364
105.857 71.457 22.4623
105.983 71.54 22.4881
106.108 71.623 22.514
106.233 71.7061 22.5398
106.358 71.7891 22.5656
106.483 71.8721 22.5915
106.608 71.9551 22.6173
106.733 72.0381 22.6432
106.858 72.1211 22.669
106.983 72.2041 22.6948
107.109 72.2872 22.7207
107.234 72.3702 22.7465
107.359 72.4532 22.7724
107.484 72.5362 22.7982
107.609 72.6192 22.824
107.734 72.7022 22.8499
107.859 72.7852 22.8757
107.984 72.8682 22.9015
108.109 72.9513 22.9274
108.235 73.0343 22.9532
108.36 73.1173 22.979
108.485 73.2003 23.0049
108.61 73.2833 23.0307
108.735 73.3663 23.0565
108.86 73.4493 23.0824
108.985 73.5323 23.1082
109.11 73.6153 23.134
109.235 73.6983 23.1598
109.361 73.7813 23.1857
109.486 73.8643 23.2115
109.611 73.9473 23.2373
109.736 74.0303 23.2632
109.861 74.1133 23.289
109.986 74.1963 23.3148
110.111 74.2793 23.3406
110.236 74.3623 23.3665
110.362 74.4453 23.3923
110.487 74.5283 23.4181
110.612 74.6113 23.4439
110.737 74.6943 23.4698
110.862 74.7773 23.4956
110.987 74.8603 23.5214
111.112 74.9433 23.5472
111.237 75.0263 23.573
111.362 75.1093 23.5989
111.488 75.1923 23.6247
111.613 75.2753 23.6505
111.738 75.3583 23.6763
111.863 75.4412 23.7021
111.988 75.5242 23.728
