,energy,nu,nubar,tau,taubar,nc,ncbar
108,13.5224,9.59434,4.48097,2.770687817405655,1.4874157332113542,3.135,1.68534
109,13.6475,9.67904,4.52037,2.8207814755341185,1.509953802345843,3.16198,1.69979
110,13.7727,9.76376,4.55979,2.87091517655477,1.5347497611587546,3.18897,1.71425
111,13.8978,9.8485,4.59921,2.9210088346832332,1.559525914892742,3.21595,1.72871
112,14.0229,9.93325,4.63864,2.971102492811696,1.5843020686267295,3.24293,1.74318
113,14.148,10.018,4.67809,3.019524604771015,1.609078222360717,3.2699,1.75764
114,14.2731,10.1028,4.71754,3.0577134614329493,1.6338543760947046,3.29687,1.7721
115,14.3982,10.1876,4.757,3.0959023180948835,1.658630529828692,3.32383,1.78657
116,14.5234,10.2723,4.79647,3.1341217014208165,1.683426488641604,3.35079,1.80103
117,14.6485,10.3571,4.83595,3.17231055808275,1.7046630564140888,3.37774,1.8155
118,14.7736,10.4419,4.87544,3.2104994147446844,1.72568307615943,3.40469,1.82997
119,14.8987,10.5267,4.91494,3.2560967430366774,1.7467030959047711,3.43163,1.84443
120,15.0238,10.6115,4.95445,3.3022689693930674,1.7677231156501123,3.45856,1.8589
121,15.1489,10.6963,4.99396,3.3484411957494578,1.7887431353954537,3.48549,1.87336
122,15.274,10.7811,5.03348,3.394613422105848,1.8097631551407949,3.51241,1.88782
123,15.3992,10.8659,5.07301,3.44082255671672,1.8307999774598738,3.53932,1.90228
124,15.5243,10.9507,5.11254,3.4870454681741108,1.851819997205215,3.56623,1.91674
125,15.6494,11.0354,5.15206,3.5335895044423933,1.8728400169505561,3.59314,1.93119
126,15.7745,11.1202,5.19159,3.580133540710676,1.898674585092877,3.62005,1.94565
127,15.8996,11.205,5.23112,3.626677576978958,1.9256561643208252,3.64695,1.96011
128,16.0247,11.2898,5.27065,3.6732216132472404,1.9526377435487734,3.67386,1.97457
129,16.1498,11.3745,5.31017,3.719765649515523,1.9796193227767216,3.70077,1.98903
130,16.275,11.4593,5.3497,3.7663468912484483,2.006622470013645,3.72768,2.00349
131,16.4001,11.544,5.38922,3.8128909275167304,2.0336040492415934,3.7546,2.01796
132,16.5252,11.6288,5.42874,3.8708052906437005,2.0605856284695423,3.78152,2.03243
133,16.6503,11.7135,5.46828,3.9360840608990575,2.0875672076974907,3.80844,2.04691
