Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization FluxNormalization X2 
0.304 0.022 0.32166666666666666 7.42e-05 0.0022 4.014 inverted 0.9714110016318076 0.9856797157135037 186.27011388792874
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.014 normal 0.9754512374451882 0.9874380117783048 114.34006396838642
0.304 0.022 0.32166666666666666 7.42e-05 0.00235 4.014 inverted 0.97342587924413 0.9860161527944847 146.2980294656423
0.304 0.022 0.32166666666666666 7.42e-05 0.00215 4.014 normal 0.9708968286719711 0.9857407944414514 220.95296084818287
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.014 inverted 0.9753464123296033 0.9872696886308006 126.81444464813345
0.304 0.022 0.32166666666666666 7.42e-05 0.0024000000000000002 4.014 inverted 0.9740769735453735 0.9862764474161798 135.59086619526036
0.304 0.022 0.32166666666666666 7.42e-05 0.00245 4.014 normal 0.9747489344919206 0.9869473401888851 120.56699892513538
0.304 0.022 0.32166666666666666 7.42e-05 0.0022 4.014 normal 0.9716871224048266 0.9862620071509552 198.12719365782044
0.304 0.022 0.32166666666666666 7.42e-05 0.00265 4.014 inverted 0.977290262219841 0.9879838193733225 153.37592854855143
0.304 0.022 0.32166666666666666 7.42e-05 0.0028 4.014 inverted 0.9790159749687682 0.9886065459749858 205.21759874001955
0.304 0.022 0.32166666666666666 7.42e-05 0.00255 4.014 normal 0.9759909503842547 0.9878963420053664 115.86941732712361
0.304 0.022 0.32166666666666666 7.42e-05 0.00275 4.014 inverted 0.9782325558500616 0.9882916323234748 187.8802780826286
0.304 0.022 0.32166666666666666 7.42e-05 0.00255 4.014 inverted 0.9760565407193471 0.9876642051145569 130.9709943606583
0.304 0.022 0.32166666666666666 7.42e-05 0.0026 4.014 normal 0.9768873652706378 0.9881435103977902 122.8034915433924
0.304 0.022 0.32166666666666666 7.42e-05 0.0028 4.014 normal 0.9788550516362524 0.9887158511003128 178.08963856380126
0.304 0.022 0.32166666666666666 7.42e-05 0.00275 4.014 normal 0.978226437469838 0.9884445421976703 163.64206782215635
0.304 0.022 0.32166666666666666 7.42e-05 0.0029000000000000002 4.014 normal 0.9802192621226251 0.9892174770797116 209.05030883863233
0.304 0.022 0.32166666666666666 7.42e-05 0.0027 4.014 normal 0.9778780421686385 0.988249813241404 148.72965684838672
0.304 0.022 0.32166666666666666 7.42e-05 0.00265 4.014 normal 0.9773549202430597 0.9882053340300132 134.7236609993099
0.304 0.022 0.32166666666666666 7.42e-05 0.00285 4.014 inverted 0.9795404319569386 0.9889323218785439 221.32157307171053
0.304 0.022 0.32166666666666666 7.42e-05 0.0027 4.014 inverted 0.9776050965259289 0.9880926867967389 169.57726313570654
0.304 0.022 0.32166666666666666 7.42e-05 0.0029000000000000002 4.014 inverted 0.9803707821484472 0.9891571423297911 239.55231811471765
0.304 0.022 0.32166666666666666 7.42e-05 0.00285 4.014 normal 0.9794468427967289 0.9889808641831008 192.28648835283155
0.304 0.022 0.32166666666666666 7.42e-05 0.0026 4.014 inverted 0.9769763904922507 0.9878635023033638 139.93217061256325
0.304 0.022 0.3383333333333333 7.42e-05 0.0022 4.014 normal 0.9764298729785928 0.9895615571698044 165.23996825774142
0.304 0.022 0.3383333333333333 7.42e-05 0.0021 4.014 inverted 0.9749006839205525 0.9883063063108171 199.5744886666637
0.304 0.022 0.3383333333333333 7.42e-05 0.002 4.014 inverted 0.9738795176930634 0.9875082221493465 260.9261720337645
0.304 0.022 0.3383333333333333 7.42e-05 0.00215 4.014 inverted 0.9756617345595979 0.98884900495905 173.50169082627028
0.304 0.022 0.3383333333333333 7.42e-05 0.002 4.014 normal 0.9738648825682273 0.9877849263917577 285.5433822773227
0.304 0.022 0.3383333333333333 7.42e-05 0.0021 4.014 normal 0.9751553581845062 0.988350227882511 216.20662318821505
0.304 0.022 0.3383333333333333 7.42e-05 0.0022500000000000003 4.014 inverted 0.9769904317031335 0.9895099563670772 136.7759304893683
0.304 0.022 0.3383333333333333 7.42e-05 0.00205 4.014 inverted 0.9745604840058779 0.9878235296948427 228.3316936832976
0.304 0.022 0.3383333333333333 7.42e-05 0.00205 4.014 normal 0.9743558116407138 0.9879513876731448 249.12297302352988
0.304 0.022 0.3383333333333333 7.42e-05 0.00215 4.014 normal 0.9756124480404932 0.9890197771487514 188.29163683120214
0.304 0.022 0.32166666666666666 7.42e-05 0.00295 4.014 normal 0.9808332429344129 0.9893948492011485 227.26125960274035
0.304 0.022 0.3383333333333333 7.42e-05 0.0022 4.014 inverted 0.976288303005471 0.9892951034365367 152.83448949217558
0.304 0.022 0.3383333333333333 7.42e-05 0.0022500000000000003 4.014 normal 0.976730982931961 0.9897702978731919 145.4939828188355
0.304 0.022 0.32166666666666666 7.42e-05 0.003 4.014 inverted 0.9814966316885217 0.9892896870927184 282.6116587818719
0.304 0.022 0.32166666666666666 7.42e-05 0.00295 4.014 inverted 0.9808821302202967 0.9892507986969179 260.2214854800016
