Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering SKFluxNormalization_Below1GeV SKFluxNormalization_Above1GeV ICFluxNormalization_Above1GeV X2 
0.304 0.022 0.355 7.42e-05 0.0025 4.014 normal 0.9777846590790295 0.9904193181498158 0.9938571402902012 51.676095413207925
0.304 0.022 0.355 7.42e-05 0.00265 4.014 normal 0.9801447271776239 0.9921610787220488 0.9946906155617375 74.28884315812105
0.304 0.022 0.355 7.42e-05 0.00245 4.014 normal 0.9764929751592715 0.9901148562211411 0.993315583596414 57.13488097649075
0.304 0.022 0.355 7.42e-05 0.00275 4.014 normal 0.982028461721139 0.9923282701641183 0.9949801884842642 105.1987298334008
0.304 0.022 0.355 7.42e-05 0.0027 4.014 normal 0.9813192706382168 0.992222802390659 0.9947603582036777 89.11414543485506
0.304 0.022 0.355 7.42e-05 0.00255 4.014 normal 0.9783730642692127 0.9909880730923276 0.9943407538428637 53.879498163118896
0.304 0.022 0.355 7.42e-05 0.0029000000000000002 4.014 normal 0.9869643683520546 0.9917435053011046 0.9959703565065605 155.29330614757507
0.304 0.022 0.355 7.42e-05 0.003 4.014 normal 0.9888098223256314 0.9927258099276235 0.9962453666416504 194.4948898188563
0.304 0.022 0.355 7.42e-05 0.00295 4.014 normal 0.9878500457864876 0.9922533225495833 0.9961542678080791 174.4492508950988
0.304 0.022 0.355 7.42e-05 0.00285 4.014 normal 0.983962961503095 0.9928246026485149 0.9956247746850656 137.20481307627458
0.304 0.022 0.37166666666666665 7.42e-05 0.00205 4.014 normal 0.9717844580367913 0.991001002353257 0.9933664996633428 210.3266966972807
0.304 0.022 0.37166666666666665 7.42e-05 0.002 4.014 normal 0.9710846391468606 0.9906145660494341 0.9931853029627733 248.95892659840203
0.304 0.022 0.37166666666666665 7.42e-05 0.0021 4.014 normal 0.9732861373972044 0.9912881176689232 0.9938274768001618 176.00445098593374
