Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization X2 
0.304 0.022 0.3883333333333333 7.42e-05 0.003 4.014 normal 1.0009591044540518 174.27491635499163
0.304 0.022 0.405 7.42e-05 0.002 4.014 normal 0.9958322640802475 242.91653717073862
0.304 0.022 0.405 7.42e-05 0.00205 4.014 normal 0.9960916501653967 202.27463856151255
0.304 0.022 0.405 7.42e-05 0.00245 4.014 normal 0.9993302768305723 22.186389610544285
0.304 0.022 0.405 7.42e-05 0.0022500000000000003 4.014 normal 0.9982574438655875 91.28678174462942
0.304 0.022 0.405 7.42e-05 0.0021 4.014 normal 0.9966540796551464 166.10784017317752
0.304 0.022 0.405 7.42e-05 0.0023 4.014 normal 0.9984616205539709 70.08961639483805
0.304 0.022 0.405 7.42e-05 0.0022 4.014 normal 0.9980037902112036 113.15008121585532
0.304 0.022 0.405 7.42e-05 0.00215 4.014 normal 0.9973566996659414 137.1819356127727
0.304 0.022 0.405 7.42e-05 0.00235 4.014 normal 0.9985965161648661 50.98821909799646
0.304 0.022 0.405 7.42e-05 0.0024000000000000002 4.014 normal 0.9988630165889392 34.07246843089869
0.304 0.022 0.405 7.42e-05 0.0025 4.014 normal 0.9999445265107308 17.43152891980848
0.304 0.022 0.405 7.42e-05 0.00275 4.014 normal 1.0015111830651968 74.68902607262278
0.304 0.022 0.405 7.42e-05 0.00265 4.014 normal 1.00109368498712 42.36832347033731
0.304 0.022 0.405 7.42e-05 0.0028 4.014 normal 1.001906147244003 92.51273703102711
0.304 0.022 0.405 7.42e-05 0.00285 4.014 normal 1.0022938367599572 110.37685711176567
0.304 0.022 0.405 7.42e-05 0.0026 4.014 normal 1.0009203334168164 29.529236938713222
0.304 0.022 0.405 7.42e-05 0.0027 4.014 normal 1.001247347937291 57.59876045932312
0.304 0.022 0.405 7.42e-05 0.00255 4.014 normal 1.0005101042497575 20.647673296336603
0.304 0.022 0.42166666666666663 7.42e-05 0.0022 4.014 normal 0.9995420828461162 110.0289402588162
0.304 0.022 0.42166666666666663 7.42e-05 0.00215 4.014 normal 0.9990181510510432 134.14764258250744
0.304 0.022 0.42166666666666663 7.42e-05 0.0021 4.014 normal 0.9983027385124456 163.30896351465987
0.304 0.022 0.405 7.42e-05 0.00295 4.014 normal 1.00293912407284 149.80464868127413
0.304 0.022 0.405 7.42e-05 0.0029000000000000002 4.014 normal 1.0026562252369606 129.65288190040502
0.304 0.022 0.405 7.42e-05 0.003 4.014 normal 1.003165726587668 171.20347718979014
0.304 0.022 0.42166666666666663 7.42e-05 0.00205 4.014 normal 0.9977315380381101 199.88432486407527
0.304 0.022 0.42166666666666663 7.42e-05 0.002 4.014 normal 0.9974510179811721 241.21496136145626
0.304 0.022 0.42166666666666663 7.42e-05 0.0022500000000000003 4.014 normal 0.9999164757706454 87.82813549683408
0.304 0.022 0.42166666666666663 7.42e-05 0.00235 4.014 normal 1.0003212399961308 46.80784690530794
0.304 0.022 0.42166666666666663 7.42e-05 0.0023 4.014 normal 1.0001659816974653 66.31363176870435
0.304 0.022 0.42166666666666663 7.42e-05 0.0025 4.014 normal 1.001681910285939 13.310996535228064
0.304 0.022 0.42166666666666663 7.42e-05 0.0024000000000000002 4.014 normal 1.0005686943998433 29.668605304421693
