Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization X2 
0.304 0.022 0.32166666666666666 7.42e-05 0.0021 4.014 inverted 0.9825088610850349 239.41801713924522
0.304 0.022 0.32166666666666666 7.42e-05 0.0021 4.014 normal 0.9829039743139351 255.5983010797802
0.304 0.022 0.305 7.42e-05 0.0029000000000000002 4.014 inverted 0.983503086438128 285.4368606047751
0.304 0.022 0.32166666666666666 7.42e-05 0.00215 4.014 inverted 0.9830726962035602 213.63819776743298
0.304 0.022 0.32166666666666666 7.42e-05 0.0023 4.014 inverted 0.9839518182647056 164.37455037056984
0.304 0.022 0.32166666666666666 7.42e-05 0.00235 4.014 normal 0.9844860959175118 152.3576673837721
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.014 normal 0.9856315982690206 119.30079890933267
0.304 0.022 0.32166666666666666 7.42e-05 0.0024000000000000002 4.014 inverted 0.9844357768216053 140.7416958963679
0.304 0.022 0.32166666666666666 7.42e-05 0.0024000000000000002 4.014 normal 0.98471720252401 137.33087668498072
0.304 0.022 0.32166666666666666 7.42e-05 0.0022500000000000003 4.014 normal 0.984279055442167 186.4081783377672
0.304 0.022 0.32166666666666666 7.42e-05 0.00235 4.014 inverted 0.984116131417994 151.79065600850308
0.304 0.022 0.32166666666666666 7.42e-05 0.0022 4.014 normal 0.9840624666853669 205.51181396611057
0.304 0.022 0.32166666666666666 7.42e-05 0.0023 4.014 normal 0.9844036756739505 168.14819270938344
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.014 inverted 0.9854724936439889 131.723485035291
0.304 0.022 0.32166666666666666 7.42e-05 0.0022 4.014 inverted 0.983525587242985 193.35094289001134
0.304 0.022 0.32166666666666666 7.42e-05 0.00245 4.014 inverted 0.9849222215890528 133.35259605803233
0.304 0.022 0.32166666666666666 7.42e-05 0.0022500000000000003 4.014 inverted 0.983806539246072 177.2531734626075
0.304 0.022 0.32166666666666666 7.42e-05 0.00245 4.014 normal 0.9851081151098201 125.71090332051523
0.304 0.022 0.32166666666666666 7.42e-05 0.00215 4.014 normal 0.9834994335768914 228.62355530535905
0.304 0.022 0.32166666666666666 7.42e-05 0.00255 4.014 inverted 0.9859152040155315 135.6175938600034
0.304 0.022 0.32166666666666666 7.42e-05 0.00275 4.014 inverted 0.9867760188087128 191.35562068124673
0.304 0.022 0.32166666666666666 7.42e-05 0.00285 4.014 inverted 0.9875177562343662 224.34390617993878
0.304 0.022 0.32166666666666666 7.42e-05 0.0026 4.014 normal 0.9864482352250896 127.16647182237236
0.304 0.022 0.32166666666666666 7.42e-05 0.00265 4.014 normal 0.986571013687806 138.77419530773125
0.304 0.022 0.32166666666666666 7.42e-05 0.0027 4.014 normal 0.9866873057178156 152.42704482650078
0.304 0.022 0.32166666666666666 7.42e-05 0.0026 4.014 inverted 0.9862230149527333 144.0128150878126
0.304 0.022 0.32166666666666666 7.42e-05 0.0028 4.014 inverted 0.9871616705958371 208.37217866171568
0.304 0.022 0.32166666666666666 7.42e-05 0.0029000000000000002 4.014 inverted 0.987833593466023 242.1934182880134
