Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown ORCAEnergyScale ShowerClassification TrackClassification IntermediateClassification XSecNuTau NCoverCC NCHad DIS CCQE CCQENuBarNu CCQEMuE CC1Pi_Pi0Pi CC1Pi_NuBarNuE CC1Pi_NuBarNuMu CC1PiProduction CohPiProduction AxialMass X2 
0.304 0.022 0.32605 0.0000742 0.0027500 4.140 normal 1.0 0.995173499423344 -0.010856459479719978 1.0135713568110902 1.006349951505042 -0.1219750868791855 -0.038727696533352174 1.0 0.9525907256224116 1.0003694836510892 1.0719106017921423 0.9717202718258219 1.0190114126243595 1.0186200357721549 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1396349339075649 618.99
0.304 0.022 0.32605 0.0000742 0.0026500 4.140 normal 1.0 0.9967621205163778 -0.010141639294234521 1.0140380706018068 1.0073945023955004 -0.1756790244551925 -0.041799410851070466 1.0 0.9495161812634956 0.9963263267858142 1.0724547679049368 0.9575472166800707 1.0269470527842892 1.0263898970971623 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1591035012638469 505.39
0.304 0.022 0.34711 0.0000742 0.0020000 4.140 normal 1.0 1.0147412070147332 0.002346113641213929 1.0149247786237434 1.0016768404827938 -0.22234216870283813 -0.023137817151623444 1.0 0.9672608697913718 1.0062706008296456 1.0770586260536286 0.960279995186871 0.8977845159625419 0.9106220239079688 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1964292006930937 1354.67
0.304 0.022 0.34711 0.0000742 0.0020500 4.140 normal 1.0 1.0135247775444278 -0.0014858592640673686 1.0152315540340662 0.9946203033580207 -0.21294268048242596 -0.0243288037262353 1.0 0.9679047041924431 1.007372900548808 1.0745449985657272 0.9746165388359037 0.9036227885949438 0.9138950259599617 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1956481514840032 1339.43
0.304 0.022 0.32605 0.0000742 0.0030000 4.140 normal 1.0 0.989198083732483 -0.020593951529948487 1.0159943243678384 0.9976080038093048 -0.06678682838642679 -0.046635372358376705 1.0 0.952217162692015 1.006184300742448 1.0687250233615393 1.0233907115980097 1.0098743935479402 1.0096733052430238 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1593999408583717 1791.69
0.304 0.022 0.34711 0.0000742 0.0022500 4.140 normal 1.0 1.0073470265507292 -0.010407175402028668 1.0146042716305057 0.9885107079570895 -0.17759146971678852 -0.03208050517036085 1.0 0.9670364390577973 1.0086883826722324 1.0639547397975548 0.9992520650597367 0.9335304568793457 0.9355089308869564 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.17983080932189 1085.98
0.304 0.022 0.34711 0.0000742 0.0021000 4.140 normal 1.0 1.0119493993701931 -0.004763872056403276 1.0154384283121214 0.9916484368726017 -0.20363782650444526 -0.025457034192171137 1.0 0.9678951954393545 1.0085467818786145 1.0717225855682273 0.9844632961294681 0.9100860844350862 0.917811718050078 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1938757239891051 1344.12
0.304 0.022 0.32605 0.0000742 0.0029500 4.140 normal 1.0 0.9933378750490971 -0.018444684967296312 1.0153710557326385 0.9948272185414369 -0.07073307490979913 -0.04250449508815925 1.0 0.9545525255912178 1.0059606388319997 1.0664069733461474 1.013755562240662 1.0012999654363726 1.0012734346293515 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1536405633229891 1478.20
0.304 0.022 0.34711 0.0000742 0.0021500 4.140 normal 1.0 1.0096820609006731 -0.007892270192227779 1.0155013227343184 0.9905657048759751 -0.1960126982085157 -0.02986909235242013 1.0 0.9674225066758764 1.008072344340525 1.0691492208277846 0.9918870658963095 0.918776492068381 0.9240823003900979 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.191189256813146 1328.13
0.304 0.022 0.34711 0.0000742 0.0022000 4.140 normal 1.0 1.0079779255649508 -0.009889067507674494 1.0152050558053287 0.98902042572819 -0.18784491891587224 -0.03278619615672372 1.0 0.9670145702531225 1.0080694018346774 1.0664025071007657 0.9974696277944868 0.9270005376766377 0.9301980070117483 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1866557355210496 1248.26
