Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown X2 
0.304 0.022 0.38921 0.0000742 0.0025000 0.331 normal 1.0011585267566459 1.006304145854915 -0.004194804683624005 1.0034272566196294 0.9793247828640367 0.010489565556967449 -0.04269398407214594 16.85
0.304 0.022 0.38921 0.0000742 0.0025000 1.983 normal 0.9999927204921292 1.0045685834878693 -0.0036017804380420715 1.0038856145791093 0.9893106075715284 0.010779820904575165 -0.037290024725192175 12.68
0.304 0.022 0.38921 0.0000742 0.0025000 1.653 normal 0.9995884728428518 1.0050985255461125 -0.0039788985166685775 1.0042265797281198 0.9848531906052659 0.009947846188931473 -0.03755449508426639 13.42
0.304 0.022 0.38921 0.0000742 0.0025000 0.661 normal 1.00215171147699 1.0069133802425119 -0.003876995997486551 1.0052841482382384 0.978385828990736 0.009862497584959067 -0.04086961049146633 16.33
0.304 0.022 0.38921 0.0000742 0.0025000 2.314 normal 0.9985979443130865 1.0028955454429307 -0.0038306250538636686 1.0038747934006718 0.9941792900593129 0.011881050124978783 -0.03687994314690387 12.27
0.304 0.022 0.38921 0.0000742 0.0025000 0.992 normal 1.0018141570284402 1.006753300769184 -0.00376442786369383 1.0052597360500484 0.9790751317845401 0.009501152925025683 -0.04058117711443935 15.45
0.304 0.022 0.38921 0.0000742 0.0025000 0.000 normal 1.0011718732975097 1.0059825057169145 -0.0043217538293004835 1.004501614557123 0.9817559007166313 0.011245097668632627 -0.0391686919334489 16.83
0.304 0.022 0.38921 0.0000742 0.0025000 4.958 normal 0.9977223775170595 1.0011453306750655 -0.0042934922601808746 1.0036756324019795 0.9993662406305575 0.014161975526949254 -0.036072117542848496 14.10
0.304 0.022 0.38921 0.0000742 0.0025000 4.627 normal 0.9989006445154 1.001214992694803 -0.00447804086113513 1.0031985430362695 0.9988910952171903 0.01474151095551787 -0.03665968233121704 12.09
0.304 0.022 0.38921 0.0000742 0.0025000 2.975 normal 0.9994787761505526 1.0016506469414956 -0.00401470046357591 1.0031635658917275 0.9989971415339298 0.014138650090026371 -0.03713216842848029 10.94
0.304 0.022 0.38921 0.0000742 0.0025000 4.297 normal 0.9992567777968296 1.0012006921965857 -0.004856080854895212 1.0027439070678712 0.9979298819495523 0.015195598708942396 -0.037781564590916514 10.64
0.304 0.022 0.38921 0.0000742 0.0025000 2.644 normal 0.9974459668597783 1.0013954679699468 -0.003994848626224406 1.003807736421319 0.9989196692135008 0.013067846074097632 -0.03705119103565635 12.16
0.304 0.022 0.38921 0.0000742 0.0025000 3.966 normal 0.9989471037525257 1.0010563863823907 -0.005191655893698559 1.002448430682177 0.9974343773708536 0.015433330430627215 -0.038668289631710075 9.89
0.304 0.022 0.38921 0.0000742 0.0025000 3.305 normal 0.9997313640914705 1.0014502136711259 -0.004604334329346737 1.0026529121274395 0.997994781222977 0.014934094730119972 -0.03785767733396297 10.00
0.304 0.022 0.38921 0.0000742 0.0025000 3.636 normal 0.9993978979978262 1.0011893405554144 -0.005040356657288152 1.0024180340553335 0.9974541625056046 0.015368126058088835 -0.03860189071998781 9.68
0.304 0.022 0.41026 0.0000742 0.0025000 0.661 normal 1.002281322377428 1.0058243470824344 -0.0012931124237216963 1.0065690029334768 0.9762604829766063 -0.004022993954850624 -0.03550839946663663 10.02
0.304 0.022 0.41026 0.0000742 0.0025000 0.331 normal 1.0034807541540567 1.0065203434097405 -0.0016025807986782396 1.0057592411167124 0.9771973465733353 0.0026157698297204547 -0.031920099233451356 10.25
0.304 0.022 0.41026 0.0000742 0.0025000 0.992 normal 1.0019102627299377 1.0059219648056636 -0.0011993178625865615 1.0064424264937464 0.9769679037738742 -0.0034471682391920048 -0.03471662850842662 9.34
0.304 0.022 0.38921 0.0000742 0.0025000 5.288 normal 0.9979984005338187 1.002913013680229 -0.004712914935606146 1.0027075173559097 0.9947437767223983 0.013464063775063494 -0.03549085655556624 14.82
0.304 0.022 0.38921 0.0000742 0.0025000 6.280 normal 1.0011839388984876 1.0059528412640857 -0.004325883128784204 1.0044918549303878 0.9817857085575629 0.011252813311783837 -0.039196325306448614 16.83
0.304 0.022 0.38921 0.0000742 0.0025000 5.949 normal 1.000940478158466 1.0051350103691332 -0.004315929224594417 1.0041545605549744 0.9854577631669252 0.01204399900054621 -0.03777578001369105 16.37
0.304 0.022 0.38921 0.0000742 0.0025000 5.619 normal 0.9996081961790747 1.0037749584472897 -0.0044413545055005076 1.0040363490081012 0.9899307761551298 0.012800206393673677 -0.03696162624044976 15.62
0.304 0.022 0.41026 0.0000742 0.0025000 0.000 normal 1.0050092769522796 1.006287505222205 -0.0020646103720252896 1.004894728689941 0.9796534154647317 0.0056212282297286855 -0.02610648402692979 10.05
0.304 0.022 0.41026 0.0000742 0.0025000 1.322 normal 1.0025304698989084 1.0062474245826276 -0.00136289190648598 1.0056626367551909 0.9792465038682386 0.002454843427080474 -0.030532383488638633 8.36
0.304 0.022 0.41026 0.0000742 0.0025000 2.975 normal 0.9984294841946479 1.0000216804723168 -0.003166886385520558 1.0022032175210487 0.9995862706057406 0.00937365815062581 -0.02207543104651744 6.06
