Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown ORCAEnergyScale ShowerClassification TrackClassification IntermediateClassification XSecNuTau NCoverCC NCHad DIS CCQE CCQENuBarNu CCQEMuE CC1Pi_Pi0Pi CC1Pi_NuBarNuE CC1Pi_NuBarNuMu CC1PiProduction CohPiProduction AxialMass X2 
0.304 0.022 0.32605 0.0000742 0.0021000 4.140 normal 1.0 1.0106064005424564 0.0016688807018097043 1.0205851957552023 1.012555166592077 -0.20014935181772553 -0.04988218002795465 1.0 0.9563072613766453 0.9968434167105358 1.0871568159143719 0.9235923439931433 0.9413471992736332 0.9500604495509485 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2282754099372821 470.05
0.304 0.022 0.32605 0.0000742 0.0020500 4.140 normal 1.0 1.01173879850793 0.002108133993434615 1.021442325462835 1.0133000902264393 -0.21046146633366616 -0.04930956600507344 1.0 0.9559531349293641 0.9971307126567315 1.0894636973206664 0.917875530997834 0.9353175041909342 0.9446911531699169 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2381483154829767 534.13
0.304 0.022 0.32605 0.0000742 0.0020000 4.140 normal 1.0 1.0089948575544478 0.0016485972165626547 1.0223136172229 1.01404824406566 -0.2159495384873454 -0.05210539038368331 1.0 0.9558691951527659 0.9972564036647185 1.0962492849033243 0.9120603116434632 0.9391009174996551 0.9516596989757213 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.238973159869872 600.32
0.304 0.022 0.30500 0.0000742 0.0028000 4.140 normal 1.0 0.9974148284392698 -0.007899561827892672 1.0197659083476807 1.0089859509200676 -0.0826282795123429 -0.05105662640865598 1.0 0.9394165253208293 0.9995816368024502 1.0844783173072075 0.9612561597503314 1.0253331532012777 1.024726677953128 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1321591561531539 531.01
0.304 0.022 0.32605 0.0000742 0.0022000 4.140 normal 1.0 1.0069726008655089 -0.0026283577140767877 1.0190801523771928 1.0112929835896454 -0.1891417833333072 -0.053383898342229466 1.0 0.9552635075098697 0.9958865710913167 1.082637659002208 0.9343163553334595 0.9574774288657061 0.9632271781433192 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2179667533621439 353.11
0.304 0.022 0.32605 0.0000742 0.0024500 4.140 normal 1.0 0.9921642145760089 -0.015173029365152288 1.0158510522022883 1.0095424515234108 -0.18358799418400956 -0.04893172137816042 1.0 0.9462454135814617 0.9932056381196622 1.08212424569255 0.9541709762699584 1.0414545780138007 1.0404531986723429 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1933014836235711 189.81
0.304 0.022 0.32605 0.0000742 0.0023500 4.140 normal 1.0 0.9915584111497624 -0.013939855868156117 1.017117734263823 1.0100523559158874 -0.19958904499548386 -0.044985848074439325 1.0 0.9500811872790796 0.994440521028509 1.0892494410682068 0.9473805268293435 1.032629931906385 1.037028852735737 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1992246037574772 220.91
0.304 0.022 0.32605 0.0000742 0.0024000 4.140 normal 1.0 0.990588886329226 -0.014712493437616912 1.0165194950359258 1.0097607111770914 -0.20487574856497773 -0.04805874713668353 1.0 0.9480333015438923 0.9938537323220625 1.0864815298394461 0.9510177442507056 1.0419022394901247 1.0404621086193238 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2006189593470602 199.42
0.304 0.022 0.32605 0.0000742 0.0023000 4.140 normal 1.0 0.9928645323466274 -0.01294513141631044 1.0177389797862628 1.0104065399989788 -0.19837251284767507 -0.04402777594331781 1.0 0.9518083472960961 0.9947248444507397 1.0914084899702532 0.943421687113791 1.0229668343699025 1.0282631800503315 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.198540535838525 254.74
0.304 0.022 0.32605 0.0000742 0.0022500 4.140 normal 1.0 0.9935587942716773 -0.0118430363719909 1.0184123363454716 1.0108023644388915 -0.19607444248219238 -0.041859678727551274 1.0 0.9545296495548773 0.9960657403519421 1.0949494630750114 0.9390871118431113 1.0148937044728403 1.0212697697549513 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1943774816609065 297.51
