SqT23 DM31 X2
0.376881 0.0024 99.4111
0.376881 0.00241 89.4583
0.376881 0.00242 78.5399
0.376881 0.00243 67.4308
0.376881 0.00244 56.881
0.376881 0.00245 47.4959
0.376881 0.00246 39.6548
0.376881 0.00247 33.4833
0.376881 0.00248 28.883
0.376881 0.00249 25.6088
0.376881 0.0025 23.3732
0.376881 0.00251 21.9512
0.376881 0.00252 21.2595
0.376881 0.00253 21.3899
0.376881 0.00254 22.5876
0.376881 0.00255 25.1794
0.376881 0.00256 29.4671
0.376881 0.00257 35.6141
0.376881 0.00258 43.5528
0.376881 0.00259 52.9381
0.376881 0.0026 63.1613
0.376881 0.00261 73.4274
0.376881 0.00262 82.8793
0.376881 0.00263 90.7457
0.376881 0.00264 96.4791
0.376881 0.00265 99.8541
0.376881 0.00266 101.004
0.376881 0.00267 100.386
0.376881 0.00268 98.683
0.376881 0.00269 96.667
0.376881 0.0027 95.0484
0.376881 0.00271 94.3518
0.376881 0.00272 94.8405
0.376881 0.00273 96.5058
0.376881 0.00274 99.1207
0.376881 0.00275 102.341
0.376881 0.00276 105.826
0.376881 0.00277 109.35
0.376881 0.00278 112.874
0.376881 0.00279 116.56
0.38465 0.0023 117.315
0.38465 0.00231 114.838
0.38465 0.00232 113.625
0.38465 0.00233 113.461
0.38465 0.00234 113.87
0.38465 0.00235 114.186
0.38465 0.00236 113.665
0.38465 0.00237 111.624
0.38465 0.00238 107.574
0.38465 0.00239 101.315
0.38465 0.0024 92.9784
0.38465 0.00241 83.0068
0.38465 0.00242 72.0734
0.38465 0.00243 60.9609
0.38465 0.00244 50.4264
0.38465 0.00245 41.0794
0.38465 0.00246 33.2997
0.38465 0.00247 27.2095
0.38465 0.00248 22.7037
0.38465 0.00249 19.5284
0.38465 0.0025 17.3876
0.38465 0.00251 16.049
0.38465 0.00252 15.4256
0.38465 0.00253 15.6091
0.38465 0.00254 16.8484
0.38465 0.00255 19.4762
0.38465 0.00256 23.8014
0.38465 0.00257 29.9936
0.38465 0.00258 37.9885
0.38465 0.00259 47.4406
0.38465 0.0026 57.7375
0.38465 0.00261 68.0769
0.38465 0.00262 77.5936
0.38465 0.00263 85.5087
0.38465 0.00264 91.2696
0.38465 0.00265 94.6501
0.38465 0.00266 95.7866
0.38465 0.00267 95.1436
0.38465 0.00268 93.4145
0.38465 0.00269 91.3808
0.38465 0.0027 89.7618
0.38465 0.00271 89.0872
0.38465 0.00272 89.6208
0.38465 0.00273 91.3501
0.38465 0.00274 94.0407
0.38465 0.00275 97.3393
0.38465 0.00276 100.897
0.38465 0.00277 104.482
0.38465 0.00278 108.053
0.38465 0.00279 111.774
0.393426 0.0023 112.65
0.393426 0.00231 110.094
0.393426 0.00232 108.821
0.393426 0.00233 108.618
0.393426 0.00234 109.009
0.393426 0.00235 109.323
0.393426 0.00236 108.808
0.393426 0.00237 106.774
0.393426 0.00238 102.727
0.393426 0.00239 96.4617
0.393426 0.0024 88.1124
0.393426 0.00241 78.1253
0.393426 0.00242 67.1799
0.393426 0.00243 56.0665
0.393426 0.00244 45.5483
0.393426 0.00245 36.2391
0.393426 0.00246 28.519
0.393426 0.00247 22.507
0.393426 0.00248 18.0916
0.393426 0.00249 15.011
0.393426 0.0025 12.9606
0.393426 0.00251 11.7018
0.393426 0.00252 11.1438
0.393426 0.00253 11.3782
0.393426 0.00254 12.6572
0.393426 0.00255 15.3194
0.393426 0.00256 19.6801
0.393426 0.00257 25.9147
0.393426 0.00258 33.962
0.393426 0.00259 43.4765
0.393426 0.0026 53.8418
0.393426 0.00261 64.2495
0.393426 0.00262 73.8267
0.393426 0.00263 81.7873
0.393426 0.00264 87.574
0.393426 0.00265 90.9597
0.393426 0.00266 92.084
0.393426 0.00267 91.4181
0.393426 0.00268 89.6647
0.393426 0.00269 87.6149
0.393426 0.0027 85.9961
0.393426 0.00271 85.3426
0.393426 0.00272 85.9189
0.393426 0.00273 87.7087
0.393426 0.00274 90.4709
0.393426 0.00275 93.8437
0.393426 0.00276 97.4703
0.393426 0.00277 101.113
0.393426 0.00278 104.729
0.393426 0.00279 108.482
0.401255 0.0023 109.281
0.401255 0.00231 106.651
0.401255 0.00232 105.322
0.401255 0.00233 105.084
0.401255 0.00234 105.459
0.401255 0.00235 105.771
0.401255 0.00236 105.262
0.401255 0.00237 103.236
0.401255 0.00238 99.1921
0.401255 0.00239 92.9235
0.401255 0.0024 84.5642
0.401255 0.00241 74.5645
0.401255 0.00242 63.6099
0.401255 0.00243 52.4975
0.401255 0.00244 41.9965
0.401255 0.00245 32.7243
0.401255 0.00246 25.0614
0.401255 0.00247 19.1239
0.401255 0.00248 14.7944
0.401255 0.00249 11.8034
0.401255 0.0025 9.83881
0.401255 0.00251 8.65567
0.401255 0.00252 8.15974
0.401255 0.00253 8.44258
0.401255 0.00254 9.75945
0.401255 0.00255 12.4541
0.401255 0.00256 16.8482
0.401255 0.00257 23.1222
0.401255 0.00258 31.2182
0.401255 0.00259 40.7904
0.401255 0.0026 51.2191
0.401255 0.00261 61.6901
0.401255 0.00262 71.3233
0.401255 0.00263 79.326
0.401255 0.00264 85.1368
0.401255 0.00265 88.5274
0.401255 0.00266 89.6406
0.401255 0.00267 88.9538
0.401255 0.00268 87.1781
0.401255 0.00269 85.1138
0.401255 0.0027 83.4955
0.401255 0.00271 82.8621
0.401255 0.00272 83.4785
0.401255 0.00273 85.3252
0.401255 0.00274 88.1545
0.401255 0.00275 91.5969
0.401255 0.00276 95.2881
0.401255 0.00277 98.9853
0.401255 0.00278 102.642
0.401255 0.00279 106.427
0.40911 0.0023 106.978
0.40911 0.00231 104.28
0.40911 0.00232 102.899
0.40911 0.00233 102.629
0.40911 0.00234 102.989
0.40911 0.00235 103.3
0.40911 0.00236 102.799
0.40911 0.00237 100.781
0.40911 0.00238 96.7412
0.40911 0.00239 90.4708
0.40911 0.0024 82.1038
0.40911 0.00241 72.0942
0.40911 0.00242 61.1329
